[0.36119686] [0.63690955] [0.89118721] [1.07447244] [1.26793569] [1.45207817] [1.68608661] [1.92239782] [2.21801354] [2.54845137] [2.7834362] [3.24613824] [3.80370086] [4.2073092] [5.19780331] [6.72364328] [8.45292453] [14.71736625] [19.81922754] [21.83476574] [0.38177241] 
[0.47059086] [0.83351734] [1.1935978] [1.53089875] [1.89370932] [2.24588438] [2.64101147] [3.04005033] [3.52550718] [4.08502343] [4.50911693] [5.3068404] [6.8777863] [8.33367908] [9.9051145] [12.10322937] [14.60614844] [21.22579602] [38.76752776] [47.50069833] [0.97029983] 
[0.65235576] [1.17760213] [1.73112486] [2.22818493] [2.68152747] [3.15251508] [3.6673613] [4.19864491] [4.87547527] [5.63139859] [6.26397517] [7.25590951] [8.94610163] [11.16239692] [13.220739] [17.82166519] [26.14819712] [33.67412774] [55.45825486] [66.55290707] [1.62272334] 
[0.75205693] [1.38281291] [2.0370226] [2.6780371] [3.31536482] [4.00373609] [4.71367096] [5.47848604] [6.33658245] [7.2425168] [8.09891431] [9.24397019] [11.07791917] [13.38389288] [18.44398456] [23.43131275] [32.1800335] [41.08573223] [63.34989231] [76.03531022] [1.87127067] 
[0.97165719] [1.76620039] [2.63177783] [3.44843294] [4.26861554] [5.10000155] [5.96186008] [6.93360149] [7.9651495] [9.15126841] [10.23370801] [11.79412425] [14.28609752] [16.92121124] [23.02555278] [28.32728193] [37.61096795] [47.5942486] [74.08620328] [94.62452091] [2.34192077] 
[1.07435945] [1.95156819] [2.92160176] [3.87620997] [4.83269155] [5.83686667] [6.85837439] [7.99481131] [9.18527821] [10.51448707] [11.74520952] [13.43835595] [16.05057234] [18.83388844] [25.16811389] [30.77996757] [40.69089772] [51.65529885] [84.98371549] [119.68684838] [2.8186904] 
[1.26786194] [2.33043987] [3.4349681] [4.48696045] [5.50443885] [6.60934947] [7.73036687] [8.99130426] [10.32209715] [11.8074148] [13.32843045] [15.16877571] [17.93144299] [20.8722811] [27.19756712] [32.83437011] [44.54078005] [57.37932951] [96.44045165] [136.7466591] [2.98275802] 
[1.44569374] [2.57574004] [3.79255668] [5.02894577] [6.25667802] [7.5842948] [8.9020861] [10.40870552] [12.0596089] [13.80278776] [15.6053515] [17.81495928] [21.0538272] [24.61827915] [31.42639562] [38.3533719] [50.98600812] [64.79496603] [105.9319257] [150.4024849] [3.37247333] 
[1.72117161] [3.01644485] [4.36083738] [5.75086097] [7.14666056] [8.63665587] [10.15997647] [11.85419063] [13.68770904] [15.60865789] [17.61789371] [20.01580989] [23.46231488] [27.4818949] [34.26224925] [41.29944408] [53.95544545] [72.7291101] [114.57174514] [161.4237963] [3.82876569] 
[1.67144228] [2.94641255] [4.27852715] [5.65509489] [7.02420165] [8.4893928] [9.99955555] [11.65643359] [13.44223571] [15.31380923] [17.29144431] [19.71388712] [23.24936297] [28.25960662] [36.4570526] [44.20523934] [56.80487559] [77.35188508] [125.76563703] [183.95289826] [4.03374524] 
[1.73136103] [3.05222057] [4.4425596] [5.88606281] [7.35592641] [8.87287107] [10.43911754] [12.14309686] [13.97167901] [15.90704846] [17.95466182] [20.48190428] [24.11401159] [29.04821597] [37.0678289] [44.739169] [58.20406042] [80.48258997] [132.66240236] [204.66670457] [4.26271419] 
