Iteration: 464
[0.11414809] [0.21124576] [0.33087097] [0.46372957] [0.60071934] [0.74971631] [0.89671866] [1.04894161] [1.2289808] [1.41358534] [1.71918127] [2.02205926] [2.41157226] [3.55876798] [5.67914683] [6.93049068] [8.19600125] [12.0455128] [14.49261518] [26.96242769] [0.58164602] 
[0.29380488] [0.55203926] [0.82717849] [1.16475978] [1.53429433] [1.88271719] [2.21179324] [2.57073044] [2.91723888] [3.36990068] [3.8665946] [4.49328685] [5.19799989] [6.57069749] [9.89698373] [12.26067805] [14.48737261] [21.00859106] [29.70943507] [52.83469451] [1.02522248] 
[0.34138053] [0.6334377] [0.96288607] [1.36863922] [1.8005433] [2.20108848] [2.58300725] [2.97840127] [3.38379089] [3.92982059] [4.62857366] [5.3687039] [6.49707293] [8.35689128] [12.04461621] [16.41498124] [26.56027973] [36.1416711] [47.21448631] [74.48427325] [1.33215763] 
[0.37530996] [0.75426047] [1.17421397] [1.65407644] [2.13229022] [2.55982775] [2.9804574] [3.42033129] [3.89699878] [4.75484384] [5.81125696] [7.05377517] [9.53631459] [14.62047391] [19.38585798] [25.48591813] [36.49715128] [51.11186292] [63.65885744] [92.13801746] [2.06497798] 
[0.43582754] [0.86041771] [1.32411729] [1.89167064] [2.45284868] [2.95396935] [3.45640583] [3.99775319] [4.59524414] [5.53649847] [6.63778178] [7.93287632] [10.46605133] [15.49415492] [20.1363224] [27.46476825] [40.02575826] [55.71331822] [74.51967866] [115.32684772] [2.40411265] 
[0.67829626] [1.25635832] [1.81980573] [2.50785392] [3.15618153] [3.77235105] [4.41241571] [5.09199173] [5.86091625] [6.93441086] [8.22604741] [9.75506616] [12.43889606] [17.50807574] [22.74209285] [31.34889285] [48.18320907] [66.48133002] [87.28562597] [131.89204402] [3.08935838] 
[0.87051803] [1.58030335] [2.25240948] [3.00587727] [3.76551482] [4.49970616] [5.23372407] [5.97799379] [6.84157297] [8.03119488] [9.55264948] [11.20884765] [14.05121204] [19.24658067] [24.66279288] [33.1876375] [49.68276585] [73.41440294] [99.68161711] [146.28929676] [3.40796575] 
[0.88495466] [1.62769865] [2.33786195] [3.10448349] [3.9020004] [5.26074346] [7.03256542] [8.0461226] [9.06151204] [10.481631] [12.35104033] [14.17886467] [17.21897441] [22.28468738] [27.61781095] [35.97524723] [51.85285912] [82.18961334] [113.28396362] [163.02173408] [3.83184064] 
[0.95188089] [1.7885501] [2.61952933] [3.43252471] [4.29282068] [5.73037439] [7.56337887] [8.70727663] [9.85779426] [11.37244982] [13.29342162] [15.13154662] [18.16264314] [23.12441956] [28.71352268] [37.17724691] [52.90206516] [88.0659742] [125.68056066] [178.57607127] [4.36291573] 
[0.97399337] [1.82857401] [2.70158662] [3.56336996] [4.4627681] [5.91338068] [7.73442181] [8.919748] [10.14427151] [11.6632388] [13.57978496] [15.43581725] [18.45085018] [23.30991896] [29.18590839] [38.67758727] [54.74447147] [97.10157175] [139.86540877] [197.5141672] [4.55330986] 
[1.09794597] [2.07566422] [3.07362283] [4.0476064] [5.08199805] [6.66989707] [8.60410737] [9.89295353] [11.28474069] [12.96177209] [15.02203581] [17.06612573] [20.60445443] [26.24544762] [32.3039349] [42.61239281] [59.69528019] [102.40891748] [150.42158413] [213.10833134] [5.00158069] 
