Iteration: 338
[0.07807543] [0.13875174] [0.19394446] [0.23842186] [0.26873345] [0.31639163] [0.37901549] [0.44629021] [0.57048538] [0.95516265] [1.46893226] [2.75797725] [3.28413199] [4.49251311] [7.69813092] [9.41415826] [14.41209708] [16.37078188] [18.13693373] [20.57490923] [0.3858384] 
[0.19805255] [0.34449434] [0.48845309] [0.61878206] [0.76947189] [0.95734581] [1.18099506] [1.56116593] [1.8723021] [2.455415] [3.28011587] [4.74432052] [5.40124551] [6.71777962] [10.13320877] [12.15618957] [18.18679475] [27.68435963] [34.49917141] [42.77771818] [0.95660354] 
[0.26066333] [0.46376497] [0.68316578] [0.9032197] [1.14309408] [1.41777449] [1.71790561] [2.18720289] [2.59896509] [3.23903193] [4.11487577] [5.6159725] [6.35275391] [7.71817158] [11.09474102] [14.66151186] [21.27658504] [36.49630423] [55.19999469] [68.77554457] [1.34148457] 
[0.40283661] [0.69577154] [1.02533669] [1.37792893] [1.7776711] [2.19683471] [2.60103246] [3.20819253] [3.76922975] [4.52216485] [5.50488052] [7.07903416] [7.98028514] [9.55721581] [13.35068372] [19.11406742] [27.47521138] [45.34271861] [72.24373505] [91.17082891] [1.86732418] 
[0.6102303] [1.08578782] [1.54578764] [2.05616753] [2.61055034] [3.20311999] [3.75931078] [4.52627562] [5.28377012] [6.2318244] [7.35357533] [9.05631501] [10.12109624] [11.85582277] [16.4329818] [24.48554736] [35.74850169] [54.70037474] [86.50467222] [108.82359087] [2.36814531] 
[0.64809751] [1.16285068] [1.66515799] [2.22539849] [2.82486837] [3.64976421] [4.59028319] [5.72273825] [6.66193324] [7.68054555] [8.90889267] [11.20632987] [13.37538078] [16.73145035] [22.02219003] [31.69294779] [45.62394316] [66.86268949] [101.83624752] [124.73841625] [2.72485312] 
[0.66213418] [1.1970148] [1.7077482] [2.27478163] [2.89812012] [3.73507118] [4.67600723] [5.8297302] [6.79619301] [7.83388037] [9.0912807] [11.42360969] [13.98619787] [17.57334675] [23.47645891] [33.60101795] [51.26091347] [79.26425308] [117.75661368] [144.72338845] [3.06515295] 
[0.72731995] [1.30402178] [1.85479282] [2.46422993] [3.13931964] [4.04868489] [5.05735684] [6.29552716] [7.32653445] [8.41402227] [9.7295229] [12.07948921] [14.64761798] [18.17767834] [24.25728039] [34.65746215] [54.39619448] [88.66556259] [134.58767459] [163.32925948] [3.27613513] 
[0.86252294] [1.55345293] [2.23271856] [2.94827921] [3.78723235] [4.87646567] [6.03796239] [7.43600882] [8.66612644] [9.91450361] [11.3599068] [13.85238166] [16.56890539] [20.31521017] [27.59836778] [41.36896161] [63.45968881] [97.31285065] [145.09856279] [176.640552] [3.380018] 
[0.87453141] [1.56888695] [2.27458432] [3.04930674] [3.9456993] [5.05765646] [6.22409158] [7.61039913] [8.81813915] [10.05581143] [11.51677447] [13.98046452] [16.66165831] [20.30285115] [27.43349118] [40.6216002] [65.40353333] [99.47788642] [148.89719886] [194.8668849] [3.50946066] 
[1.01939432] [1.81634189] [2.59469192] [3.41269418] [4.4102719] [5.64271436] [7.01489836] [8.5365313] [9.97187781] [12.42048359] [16.17299921] [19.75770628] [23.0502831] [27.03624274] [34.58314058] [47.59014445] [71.70886864] [104.70937262] [154.06328427] [209.12010794] [3.82483819] 
[1.18443091] [2.06669324] [2.93828173] [3.86293786] [5.02996256] [6.42310396] [7.98048039] [9.69369424] [11.43099747] [14.07446757] [17.84788951] [21.4990668] [24.86616129] [29.02850792] [36.50994593] [49.34226039] [72.77073681] [105.86180734] [160.11932618] [228.81550498] [4.00720773] 
[1.12520937] [1.96335858] [2.79136765] [3.66979097] [4.77846443] [6.10194876] [7.58145637] [9.20900953] [10.85944759] [13.37074419] [16.95549504] [20.42411346] [23.62285322] [27.57708253] [34.68444864] [46.87514737] [69.13219997] [100.56871697] [152.11335987] [217.37472973] [3.80684734] 
[1.0689489] [1.86519065] [2.65179926] [3.48630142] [4.53954121] [5.79685132] [7.20238355] [8.74855905] [10.31647521] [12.70220698] [16.10772028] [19.40290779] [22.44171056] [26.1982284] [32.9502262] [44.53139] [65.67558997] [95.54028113] [144.50769188] [206.50599324] [3.61650497] 
[1.01550146] [1.77193112] [2.5192093] [3.31198635] [4.31256415] [5.50700876] [6.84226437] [8.3111311] [9.80065145] [12.06709663] [15.30233427] [18.4327624] [21.31962503] [24.88831698] [31.30271489] [42.3048205] [62.39181048] [90.76326707] [137.28230728] [196.18069358] [3.43567973] 
[0.96472638] [1.68333456] [2.39324884] [3.14638703] [4.09693594] [5.23165832] [6.50015115] [7.89557454] [9.31061888] [11.4637418] [14.53721756] [17.51112428] [20.25364378] [23.64390113] [29.73757915] [40.18957948] [59.27221995] [86.22510372] [130.41819192] [186.3716589] [3.26389574] 
[0.91649006] [1.59916783] [2.27358639] [2.98906768] [3.89208914] [4.9700754] [6.1751436] [7.50079581] [8.84508794] [10.89055471] [13.81035668] [16.63556807] [19.24096159] [22.46170608] [28.25070019] [38.1801005] [56.30860895] [81.91384853] [123.89728232] [177.05307596] [3.10070095] 
[0.87066556] [1.51920944] [2.15990707] [2.8396143] [3.69748469] [4.72157163] [5.86638642] [7.12575602] [8.40283354] [10.34602697] [13.11983884] [15.80378966] [18.27891351] [21.33862077] [26.83816518] [36.27109548] [53.49317851] [77.8181561] [117.70241821] [168.20042216] [2.9456659] 
[0.82713228] [1.44324897] [2.05191172] [2.69763358] [3.51261045] [4.48549305] [5.5730671] [6.76946822] [7.98269186] [9.82872562] [12.4638469] [15.01360018] [17.36496784] [20.27168973] [25.49625692] [34.4575407] [50.81851958] [73.9272483] [111.8172973] [159.79040105] [2.79838261] 
[0.78577567] [1.37108652] [1.94931613] [2.5627519] [3.33697993] [4.2612184] [5.29441374] [6.43099481] [7.58355727] [9.33728934] [11.84065456] [14.26292017] [16.49671944] [19.25810525] [24.22144408] [32.73466367] [48.2775936] [70.23088588] [106.22643243] [151.800881] [2.65846348] 
[0.74648688] [1.30253219] [1.85185033] [2.43461431] [3.17013093] [4.04815748] [5.02969305] [6.10944507] [7.20437941] [8.87042488] [11.24862183] [13.54977416] [15.67188347] [18.29519998] [23.01037187] [31.09793049] [45.86371392] [66.71934159] [100.91511081] [144.21083695] [2.5255403] 
[0.70916254] [1.23740558] [1.75925781] [2.31288359] [3.01162439] [3.8457496] [4.7782084] [5.80397282] [6.84416044] [8.42690363] [10.68619074] [12.87228545] [14.8882893] [17.38043999] [21.85985328] [29.54303396] [43.57052823] [63.38337451] [95.86935527] [137.0002951] [2.39926329] 
[0.67370441] [1.17553531] [1.67129492] [2.19723941] [2.86104317] [3.65346212] [4.53929798] [5.51377418] [6.50195241] [8.00555845] [10.1518812] [12.22867118] [14.14387483] [16.51141799] [20.76686062] [28.06588226] [41.39200181] [60.21420578] [91.07588751] [130.15028035] [2.27930013] 
[0.64001919] [1.11675854] [1.58773017] [2.08737744] [2.71799101] [3.47078902] [4.31233308] [5.23808547] [6.17685479] [7.60528053] [9.64428714] [11.61723762] [13.43668109] [15.68584709] [19.72851758] [26.66258815] [39.32240172] [57.20349549] [86.52209313] [123.64276633] [2.16533512] 
[0.60801823] [1.06092061] [1.50834367] [1.98300857] [2.58209146] [3.29724957] [4.09671643] [4.97618119] [5.86801205] [7.2250165] [9.16207278] [11.03637574] [12.76484704] [14.90155473] [18.74209171] [25.32945874] [37.35628164] [54.34332072] [82.19598847] [117.46062801] [2.05706836] 
[0.57761732] [1.00787458] [1.43292648] [1.88385814] [2.45298688] [3.13238709] [3.89188061] [4.72737213] [5.57461145] [6.86376568] [8.70396914] [10.48455695] [12.12660469] [14.156477] [17.80498712] [24.06298581] [35.48846756] [51.62615468] [78.08618905] [111.58759661] [1.95421494] 
[0.54873646] [0.95748085] [1.36128016] [1.78966524] [2.33033754] [2.97576773] [3.69728658] [4.49100353] [5.29588088] [6.52057739] [8.26877069] [9.96032911] [11.52027445] [13.44865315] [16.91473776] [22.85983652] [33.71404418] [49.04484695] [74.1818796] [106.00821678] [1.8565042] 
[0.52129963] [0.90960681] [1.29321615] [1.70018197] [2.21382066] [2.82697935] [3.51242225] [4.26645335] [5.03108683] [6.19454852] [7.85533215] [9.46231265] [10.94426073] [12.77622049] [16.06900088] [21.71684469] [32.02834197] [46.5926046] [70.47278562] [100.70780594] [1.76367899] 
[0.49523465] [0.86412647] [1.22855534] [1.61517287] [2.10312963] [2.68563038] [3.33680113] [4.05313068] [4.77953249] [5.8848211] [7.46256555] [8.98919702] [10.39704769] [12.13740946] [15.26555083] [20.63100245] [30.42692487] [44.26297437] [66.94914634] [95.67241565] [1.67549504] 
[0.47047292] [0.82092015] [1.16712758] [1.53441423] [1.99797315] [2.55134886] [3.16996108] [3.85047415] [4.54055587] [5.59058004] [7.08943727] [8.53973717] [9.87719531] [11.53053899] [14.50227329] [19.59945233] [28.90557863] [42.04982565] [63.60168902] [90.88879486] [1.59172029] 
[0.44694927] [0.77987414] [1.1087712] [1.45769352] [1.89807449] [2.42378142] [3.01146302] [3.65795044] [4.31352807] [5.31105104] [6.7349654] [8.11275031] [9.38333554] [10.95401204] [13.77715963] [18.61947972] [27.4602997] [39.94733437] [60.42160457] [86.34435512] [1.51213427] 
[0.42460181] [0.74088043] [1.05333264] [1.38480884] [1.80317077] [2.30259235] [2.86088987] [3.47505292] [4.09785167] [5.04549849] [6.39821713] [7.70711279] [8.91416877] [10.40631144] [13.08830164] [17.68850573] [26.08728471] [37.94996765] [57.40052434] [82.02713736] [1.43652756] 
[0.40337172] [0.70383641] [1.00066601] [1.3155684] [1.71301223] [2.18746273] [2.71784538] [3.30130027] [3.89295909] [4.79322356] [6.07830628] [7.32175715] [8.46846033] [9.88599587] [12.43388656] [16.80408044] [24.78292048] [36.05246927] [54.53049812] [77.9257805] [1.36470118] 
[0.38320313] [0.66864459] [0.95063271] [1.24978998] [1.62736162] [2.07808959] [2.58195311] [3.13623526] [3.69831113] [4.55356239] [5.77439096] [6.9556693] [8.04503731] [9.39169607] [11.81219223] [15.96387642] [23.54377445] [34.24984581] [51.80397322] [74.02949147] [1.29646612] 
[0.36404298] [0.63521236] [0.90310107] [1.18730048] [1.54599354] [1.97418511] [2.45285545] [2.9794235] [3.51339558] [4.32588427] [5.48567142] [6.60788583] [7.64278545] [8.92211127] [11.22158262] [15.1656826] [22.36658573] [32.53735352] [49.21377456] [70.3280169] [1.23164282] 
[0.34584083] [0.60345174] [0.85794602] [1.12793546] [1.46869386] [1.87547586] [2.33021268] [2.83045232] [3.3377258] [4.10959005] [5.21138784] [6.27749154] [7.26064617] [8.47600571] [10.66050349] [14.40739847] [21.24825644] [30.91048584] [46.75308583] [66.81161605] [1.17006067] 
[0.32854879] [0.57327916] [0.81504872] [1.07153869] [1.39525917] [1.78170207] [2.21370205] [2.68892971] [3.17083951] [3.90411055] [4.95081845] [5.96361696] [6.89761386] [8.05220542] [10.12747832] [13.68702855] [20.18584362] [29.36496155] [44.41543154] [63.47103525] [1.11155764] 
[0.31212135] [0.5446152] [0.77429628] [1.01796175] [1.32549621] [1.69261696] [2.10301695] [2.55448322] [3.01229753] [3.70890502] [4.70327753] [5.66543611] [6.55273317] [7.64959515] [9.6211044] [13.00267712] [19.17655144] [27.89671347] [42.19465996] [60.29748349] [1.05597976] 
[0.29651528] [0.51738444] [0.73558147] [0.96706366] [1.2592214] [1.60798611] [1.9978661] [2.42675906] [2.86168266] [3.52345977] [4.46811365] [5.38216431] [6.22509651] [7.26711539] [9.14004918] [12.35254326] [18.21772387] [26.5018778] [40.08492696] [57.28260931] [1.00318077] 
[0.28168952] [0.49151522] [0.69880239] [0.91871048] [1.19626033] [1.52758681] [1.89797279] [2.30542111] [2.71859852] [3.34728678] [4.24470797] [5.11305609] [5.91384169] [6.90375962] [8.68304672] [11.7349161] [17.30683767] [25.17678391] [38.08068061] [54.41847885] [0.95302173] 
[0.26760504] [0.46693946] [0.66386227] [0.87277496] [1.13644731] [1.45120747] [1.80307415] [2.19015005] [2.5826686] [3.17992244] [4.03247257] [4.85740329] [5.6181496] [6.55857164] [8.24889439] [11.1481703] [16.44149579] [23.91794471] [36.17664658] [51.69755491] [0.90537065] 
[0.25422479] [0.44359248] [0.63066916] [0.82913621] [1.07962495] [1.37864709] [1.71292045] [2.08064255] [2.45353517] [3.02092632] [3.83084894] [4.61453312] [5.33724212] [6.23064306] [7.83644967] [10.59076178] [15.619421] [22.72204748] [34.36781425] [49.11267716] [0.86010211] 
[0.24151355] [0.42141286] [0.5991357] [0.7876794] [1.0256437] [1.30971474] [1.62727442] [1.97661042] [2.33085841] [2.86988001] [3.6393065] [4.38380647] [5.07038002] [5.91911091] [7.44462718] [10.06122369] [14.83844995] [21.5859451] [32.64942354] [46.6570433] [0.81709701] 
[0.22943787] [0.40034222] [0.56917892] [0.74829543] [0.97436151] [1.244229] [1.5459107] [1.8777799] [2.21431549] [2.72638601] [3.45734117] [4.16461614] [4.81686102] [5.62315536] [7.07239582] [9.55816251] [14.09652745] [20.50664785] [31.01695236] [44.32419114] [0.77624216] 
[0.21796598] [0.3803251] [0.54071997] [0.71088066] [0.92564344] [1.18201755] [1.46861517] [1.78389091] [2.10359971] [2.5900667] [3.28447411] [3.95638534] [4.57601796] [5.34199759] [6.71877603] [9.08025438] [13.39170108] [19.48131546] [29.46610475] [42.10798158] [0.73743005] 
[0.20706768] [0.36130885] [0.51368397] [0.67533662] [0.87936127] [1.12291667] [1.39518441] [1.69469636] [1.99841973] [2.46056337] [3.12025041] [3.75856607] [4.34721707] [5.07489771] [6.38283723] [8.62624166] [12.72211603] [18.50724968] [27.99279951] [40.0025825] [0.70055855] 
[0.19671429] [0.34324341] [0.48799977] [0.64156979] [0.8353932] [1.06677084] [1.32542519] [1.60996154] [1.89849874] [2.3375352] [2.96423789] [3.57063777] [4.12985621] [4.82115283] [6.06369537] [8.19492958] [12.08601023] [17.5818872] [26.59315953] [38.00245338] [0.66553062] 
[0.18687858] [0.32608124] [0.46359978] [0.6094913] [0.79362354] [1.0134323] [1.25915393] [1.52946347] [1.8035738] [2.22065844] [2.81602599] [3.39210588] [3.9233634] [4.58009519] [5.7605106] [7.7851831] [11.48170971] [16.70279284] [25.26350156] [36.10233071] [0.63225409] 
[0.17753465] [0.30977717] [0.4404198] [0.57901674] [0.75394237] [0.96276068] [1.19619623] [1.45299029] [1.71339511] [2.10962552] [2.67522469] [3.22250058] [3.72719523] [4.35109043] [5.47248507] [7.39592395] [10.90762423] [15.8676532] [24.00032648] [34.29721417] [0.60064138] 
[0.16865792] [0.29428832] [0.41839881] [0.5500659] [0.71624525] [0.91462265] [1.13638642] [1.38034078] [1.62772536] [2.00414424] [2.54146346] [3.06137556] [3.54083547] [4.13353591] [5.19886082] [7.02612775] [10.36224302] [15.07427054] [22.80031016] [32.58235346] [0.57060932] 
[0.16022502] [0.2795739] [0.39747887] [0.52256261] [0.68043298] [0.86889152] [1.0795671] [1.31132374] [1.54633909] [1.90393703] [2.41439029] [2.90830678] [3.3637937] [3.92685911] [4.93891778] [6.67482136] [9.84413087] [14.32055701] [21.66029465] [30.95323579] [0.54207885] 
[0.15221377] [0.26559521] [0.37760492] [0.49643448] [0.64641134] [0.82544694] [1.02558875] [1.24575755] [1.46902214] [1.80874018] [2.29367077] [2.76289144] [3.19560401] [3.73051616] [4.69197189] [6.34108029] [9.35192432] [13.60452916] [20.57727992] [29.405574] [0.51497491] 
[0.14460308] [0.25231544] [0.35872468] [0.47161275] [0.61409077] [0.78417459] [0.97430931] [1.18346967] [1.39557103] [1.71830317] [2.17898723] [2.62474687] [3.03582381] [3.54399035] [4.45737329] [6.02402628] [8.88432811] [12.9243027] [19.54841592] [27.9352953] [0.48922616] 
[0.13737293] [0.23969967] [0.34078844] [0.44803211] [0.58338623] [0.74496586] [0.92559384] [1.12429619] [1.32579248] [1.63238801] [2.07003787] [2.49350952] [2.88403262] [3.36679083] [4.23450463] [5.72282496] [8.4401117] [12.27808757] [18.57099512] [26.53853054] [0.46476485] 
[0.13050428] [0.22771469] [0.32374902] [0.42563051] [0.55421692] [0.70771757] [0.87931415] [1.06808138] [1.25950285] [1.55076861] [1.96653598] [2.36883405] [2.73983099] [3.19845129] [4.0227794] [5.43668372] [8.01810612] [11.66418319] [17.64244537] [25.21160401] [0.44152661] 
[0.12397907] [0.21632895] [0.30756157] [0.40434898] [0.52650607] [0.67233169] [0.83534844] [1.01467731] [1.19652771] [1.47323018] [1.86820918] [2.25039235] [2.60283944] [3.03852872] [3.82164043] [5.16484953] [7.61720081] [11.08097403] [16.7603231] [23.95102381] [0.41945028] 
[0.11778011] [0.20551251] [0.29218349] [0.38413153] [0.50018077] [0.63871511] [0.79358102] [0.96394345] [1.13670133] [1.39956867] [1.77479872] [2.13787273] [2.47269747] [2.88660229] [3.63055841] [4.90660705] [7.23634077] [10.52692533] [15.92230694] [22.75347262] [0.39847777] 
[0.11189111] [0.19523688] [0.27757432] [0.36492496] [0.47517173] [0.60677935] [0.75390197] [0.91574627] [1.07986626] [1.32959024] [1.68605878] [2.03097909] [2.3490626] [2.74227217] [3.44903049] [4.6612767] [6.87452373] [10.00057906] [15.1261916] [21.61579899] [0.37855388] 
[0.10629655] [0.18547504] [0.2636956] [0.34667871] [0.45141314] [0.57644039] [0.71620687] [0.86995896] [1.02587295] [1.26311073] [1.60175584] [1.92943014] [2.23160947] [2.60515856] [3.27657896] [4.42821287] [6.53079754] [9.50055011] [14.36988202] [20.53500904] [0.35962618] 
[0.10098173] [0.17620129] [0.25051082] [0.32934477] [0.42884249] [0.54761837] [0.68039653] [0.82646101] [0.9745793] [1.19995519] [1.52166805] [1.83295863] [2.12002899] [2.47490064] [3.11275001] [4.20680222] [6.20425767] [9.0255226] [13.65138792] [19.50825859] [0.34164487] 
[0.09593264] [0.16739122] [0.23798528] [0.31287754] [0.40740036] [0.52023745] [0.6463767] [0.78513796] [0.92585033] [1.13995743] [1.44558465] [1.7413107] [2.01402754] [2.3511556] [2.95711251] [3.99646211] [5.89404478] [8.57424647] [12.96881852] [18.53284566] [0.32456263] 
[0.09113601] [0.15902166] [0.22608602] [0.29723366] [0.38703034] [0.49422558] [0.61405787] [0.74588106] [0.87955782] [1.08295956] [1.37330542] [1.65424516] [1.91332617] [2.23359782] [2.80925689] [3.79663901] [5.59934254] [8.14553415] [12.32037759] [17.60620337] [0.3083345] 
[0.08657921] [0.15107058] [0.21478171] [0.28237198] [0.36767883] [0.4695143] [0.58335497] [0.70858701] [0.83557993] [1.02881158] [1.30464015] [1.57153291] [1.81765986] [2.12191793] [2.66879404] [3.60680706] [5.31937542] [7.73825744] [11.70435871] [16.7258932] [0.29291777] 
[0.08225025] [0.14351705] [0.20404263] [0.26825338] [0.34929489] [0.44603858] [0.55418722] [0.67315766] [0.79380093] [0.977371] [1.23940814] [1.49295626] [1.72677686] [2.01582204] [2.53535434] [3.4264667] [5.05340665] [7.35134457] [11.11914078] [15.88959854] [0.27827189] 
[0.07813773] [0.1363412] [0.1938405] [0.25484071] [0.33183014] [0.42373665] [0.52647786] [0.63949978] [0.75411088] [0.92850245] [1.17743773] [1.41830845] [1.64043802] [1.91503093] [2.40858662] [3.25514337] [4.80073631] [6.98377734] [10.56318374] [15.09511862] [0.26435829] 
[0.07423085] [0.12952414] [0.18414847] [0.24209867] [0.31523863] [0.40254982] [0.50015397] [0.60752479] [0.71640534] [0.88207733] [1.11856585] [1.34739302] [1.55841612] [1.81927939] [2.28815729] [3.0923862] [4.5606995] [6.63458847] [10.03502455] [14.34036269] [0.25114038] 
[0.07051931] [0.12304793] [0.17494105] [0.22999374] [0.2994767] [0.38242233] [0.47514627] [0.57714855] [0.68058507] [0.83797346] [1.06263755] [1.28002337] [1.48049531] [1.72831542] [2.17374943] [2.93776689] [4.33266452] [6.30285905] [9.53327333] [13.62334455] [0.23858336] 
[0.06699334] [0.11689553] [0.166194] [0.21849405] [0.28450287] [0.36330121] [0.45138896] [0.54829112] [0.64655582] [0.79607479] [1.00950568] [1.2160222] [1.40647055] [1.64189965] [2.06506196] [2.79087854] [4.1160313] [5.9877161] [9.05660966] [12.94217732] [0.22665419] 
[0.06364367] [0.11105076] [0.1578843] [0.20756935] [0.27027772] [0.34513615] [0.42881951] [0.52087657] [0.61422803] [0.75627105] [0.95903039] [1.15522109] [1.33614702] [1.55980467] [1.96180886] [2.65133462] [3.91022973] [5.68833029] [8.60377918] [12.29506846] [0.21532148] 
[0.06046149] [0.10549822] [0.14999008] [0.19719088] [0.25676384] [0.32787934] [0.40737853] [0.49483274] [0.58351663] [0.7184575] [0.91107887] [1.09746004] [1.26933967] [1.48181443] [1.86371842] [2.51876789] [3.71471825] [5.40391378] [8.17359022] [11.68031504] [0.20455541] 
[0.05743841] [0.10022331] [0.14249058] [0.18733134] [0.24392565] [0.31148538] [0.38700961] [0.4700911] [0.5543408] [0.68253462] [0.86552493] [1.04258704] [1.20587269] [1.40772371] [1.77053249] [2.39282949] [3.52898233] [5.13371809] [7.76491071] [11.09629928] [0.19432764] 
